Date,PM2.5,AQI,AQI-Category
2022-10-21,11.1,,
21,11.1,46.0,Good
2022-10-22,11.1,,
22,11.1,46.0,Good
2022-10-23,10.7,,
23,10.7,45.0,Good
2022-10-24,18.3,,
24,18.3,64.0,Moderate
2022-10-25,18.3,,
25,18.3,64.0,Moderate
2022-10-26,14.8,,
26,14.8,57.0,Moderate
2022-10-27,14.8,,
27,14.8,57.0,Moderate
2022-10-28,11.1,,
28,11.1,46.0,Good
2022-10-29,11.1,,
29,11.1,46.0,Good
2022-10-30,11.1,,
30,11.1,46.0,Good
2022-10-31,11.1,,
31,11.1,46.0,Good
2022-10-,15.1,,
,15.1,57.0,Moderate
2022-11-1,11.1,,
1,11.1,46.0,Good
2022-11-2,11.1,,
2,11.1,46.0,Good
2022-11-3,14.8,,
3,14.8,57.0,Moderate
2022-11-4,14.8,,
4,14.8,57.0,Moderate
2022-11-5,14.8,,
5,14.8,57.0,Moderate
2022-11-6,14.8,,
6,14.8,57.0,Moderate
2022-11-7,10.7,,
7,10.7,45.0,Good
2022-11-8,7.6,,
8,7.6,32.0,Good
2022-11-9,11.1,,
9,11.1,46.0,Good
2022-11-10,11.1,,
10,11.1,46.0,Good
2022-11-11,11.1,,
11,11.1,46.0,Good
2022-11-12,11.1,,
12,11.1,46.0,Good
2022-11-13,11.1,,
13,11.1,46.0,Good
2022-11-14,11.1,,
14,11.1,46.0,Good
2022-11-15,29.4,,
15,29.4,87.0,Moderate
2022-11-16,11.1,,
16,11.1,46.0,Good
2022-11-17,7.6,,
17,7.6,32.0,Good
2022-11-18,14.8,,
18,14.8,57.0,Moderate
2022-11-19,14.8,,
19,14.8,57.0,Moderate
2022-11-20,11.1,,
20,11.1,46.0,Good
2022-11-21,14.8,,
21,14.8,57.0,Moderate
2022-11-22,14.8,,
22,14.8,57.0,Moderate
2022-11-23,11.1,,
23,11.1,46.0,Good
2022-11-24,14.8,,
24,14.8,57.0,Moderate
2022-11-25,14.8,,
25,14.8,57.0,Moderate
2022-11-26,7.2,,
26,7.2,30.0,Good
2022-11-27,7.6,,
27,7.6,32.0,Good
2022-11-28,11.1,,
28,11.1,46.0,Good
2022-11-29,7.6,,
29,7.6,32.0,Good
2022-11-30,14.8,,
30,14.8,57.0,Moderate
2022-11-,12.5,,
,12.5,52.0,Moderate
2022-12-1,7.6,,
1,7.6,32.0,Good
2022-12-2,14.8,,
2,14.8,57.0,Moderate
2022-12-3,7.6,,
3,7.6,32.0,Good
2022-12-4,7.6,,
4,7.6,32.0,Good
2022-12-5,7.6,,
5,7.6,32.0,Good
2022-12-6,7.6,,
6,7.6,32.0,Good
2022-12-7,7.6,,
7,7.6,32.0,Good
2022-12-8,11.1,,
8,11.1,46.0,Good
2022-12-9,7.6,,
9,7.6,32.0,Good
2022-12-10,11.1,,
10,11.1,46.0,Good
2022-12-11,22.2,,
11,22.2,72.0,Moderate
2022-12-12,11.1,,
12,11.1,46.0,Good
2022-12-13,18.3,,
13,18.3,64.0,Moderate
2022-12-14,14.8,,
14,14.8,57.0,Moderate
2022-12-15,11.1,,
15,11.1,46.0,Good
2022-12-16,11.1,,
16,11.1,46.0,Good
2022-12-17,11.1,,
17,11.1,46.0,Good
2022-12-18,7.6,,
18,7.6,32.0,Good
2022-12-19,7.2,,
19,7.2,30.0,Good
2022-12-20,14.8,,
20,14.8,57.0,Moderate
2022-12-21,14.8,,
21,14.8,57.0,Moderate
2022-12-22,11.1,,
22,11.1,46.0,Good
2022-12-23,11.1,,
23,11.1,46.0,Good
2022-12-24,14.8,,
24,14.8,57.0,Moderate
2022-12-25,11.1,,
25,11.1,46.0,Good
2022-12-26,11.1,,
26,11.1,46.0,Good
2022-12-27,14.8,,
27,14.8,57.0,Moderate
2022-12-28,7.6,,
28,7.6,32.0,Good
2022-12-29,18.3,,
29,18.3,64.0,Moderate
2022-12-30,14.8,,
30,14.8,57.0,Moderate
2022-12-31,11.1,,
31,11.1,46.0,Good
2022-12-,11.6,,
,11.6,48.0,Good
