Date,PM2.5,AQI,AQI-Bucket
11,33.5,96.0,Moderate
2020-07-12,33.5,,
12,33.5,96.0,Moderate
2020-07-13,22.2,,
13,22.2,72.0,Moderate
2020-07-14,18.3,,
14,18.3,64.0,Moderate
2020-07-15,22.2,,
15,22.2,72.0,Moderate
2020-07-16,18.3,,
16,18.3,64.0,Moderate
2020-07-17,25.9,,
17,25.9,80.0,Moderate
2020-07-18,25.9,,
18,25.9,80.0,Moderate
2020-07-19,22.2,,
19,22.2,72.0,Moderate
2020-07-20,29.4,,
20,29.4,87.0,Moderate
2020-07-21,29.4,,
21,29.4,87.0,Moderate
2020-07-22,22.2,,
22,22.2,72.0,Moderate
2020-07-23,33.2,,
23,33.2,95.0,Moderate
2020-07-24,29.4,,
24,29.4,87.0,Moderate
2020-07-25,22.2,,
25,22.2,72.0,Moderate
2020-07-26,14.8,,
26,14.8,57.0,Moderate
2020-07-27,21.9,,
27,21.9,72.0,Moderate
2020-07-28,29.4,,
28,29.4,87.0,Moderate
2020-07-29,29.4,,
29,29.4,87.0,Moderate
2020-07-30,14.8,,
30,14.8,57.0,Moderate
2020-07-31,14.8,,
31,14.8,57.0,Moderate
2020-07-,24.4,,
,24.4,77.0,Moderate
2020-08-1,18.3,,
1,18.3,64.0,Moderate
2020-08-2,18.3,,
2,18.3,64.0,Moderate
2020-08-3,29.4,,
3,29.4,87.0,Moderate
2020-08-4,29.4,,
4,29.4,87.0,Moderate
2020-08-5,18.3,,
5,18.3,64.0,Moderate
2020-08-6,22.2,,
6,22.2,72.0,Moderate
2020-08-7,29.4,,
7,29.4,87.0,Moderate
2020-08-8,18.3,,
8,18.3,64.0,Moderate
2020-08-9,22.2,,
9,22.2,72.0,Moderate
2020-08-10,18.3,,
10,18.3,64.0,Moderate
2020-08-11,33.5,,
11,33.5,96.0,Moderate
2020-08-12,33.5,,
12,33.5,96.0,Moderate
2020-08-13,33.5,,
13,33.5,96.0,Moderate
2020-08-14,25.9,,
14,25.9,80.0,Moderate
2020-08-15,18.3,,
15,18.3,64.0,Moderate
2020-08-16,29.4,,
16,29.4,87.0,Moderate
2020-08-17,25.9,,
17,25.9,80.0,Moderate
2020-08-18,22.2,,
18,22.2,72.0,Moderate
2020-08-19,25.9,,
19,25.9,80.0,Moderate
2020-08-20,25.9,,
20,25.9,80.0,Moderate
2020-08-21,14.8,,
21,14.8,57.0,Moderate
2020-08-22,14.8,,
22,14.8,57.0,Moderate
2020-08-23,25.9,,
23,25.9,80.0,Moderate
2020-08-24,29.4,,
24,29.4,87.0,Moderate
2020-08-25,22.2,,
25,22.2,72.0,Moderate
2020-08-26,11.1,,
26,11.1,46.0,Good
2020-08-27,11.1,,
27,11.1,46.0,Good
2020-08-28,14.8,,
28,14.8,57.0,Moderate
2020-08-29,18.3,,
29,18.3,64.0,Moderate
2020-08-30,18.3,,
30,18.3,64.0,Moderate
2020-08-31,22.2,,
31,22.2,72.0,Moderate
2020-08-,22.6,,
,22.6,73.0,Moderate
2020-09-1,21.9,,
1,21.9,72.0,Moderate
2020-09-2,18.3,,
2,18.3,64.0,Moderate
2020-09-3,18.3,,
3,18.3,64.0,Moderate
2020-09-4,14.8,,
4,14.8,57.0,Moderate
2020-09-5,18.3,,
5,18.3,64.0,Moderate
2020-09-6,25.6,,
6,25.6,79.0,Moderate
2020-09-7,33.5,,
7,33.5,96.0,Moderate
2020-09-8,25.9,,
8,25.9,80.0,Moderate
2020-09-9,18.3,,
9,18.3,64.0,Moderate
2020-09-10,18.3,,
10,18.3,64.0,Moderate
2020-09-11,14.8,,
11,14.8,57.0,Moderate
2020-09-12,14.8,,
12,14.8,57.0,Moderate
2020-09-13,14.8,,
13,14.8,57.0,Moderate
2020-09-14,18.3,,
14,18.3,64.0,Moderate
2020-09-15,14.8,,
15,14.8,57.0,Moderate
2020-09-16,18.3,,
16,18.3,64.0,Moderate
2020-09-17,22.2,,
17,22.2,72.0,Moderate
2020-09-18,25.9,,
18,25.9,80.0,Moderate
2020-09-19,22.2,,
19,22.2,72.0,Moderate
2020-09-20,14.8,,
20,14.8,57.0,Moderate
2020-09-21,14.8,,
21,14.8,57.0,Moderate
2020-09-22,18.3,,
22,18.3,64.0,Moderate
2020-09-23,14.8,,
23,14.8,57.0,Moderate
2020-09-24,18.3,,
24,18.3,64.0,Moderate
2020-09-25,25.9,,
25,25.9,80.0,Moderate
2020-09-26,21.9,,
26,21.9,72.0,Moderate
2020-09-27,22.2,,
27,22.2,72.0,Moderate
2020-09-28,22.2,,
28,22.2,72.0,Moderate
2020-09-29,22.2,,
29,22.2,72.0,Moderate
2020-09-30,18.3,,
30,18.3,64.0,Moderate
2020-09-,19.8,,
,19.8,67.0,Moderate
2020-10-1,14.8,,
1,14.8,57.0,Moderate
2020-10-2,18.3,,
2,18.3,64.0,Moderate
